	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1102:29071:9049;size=1;	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:29323:12174;size=1;	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:29663:13956;size=1;	0	0	2	9	7	1	1	88	63	2	5	21	93	952	1	0
M02144:85:000000000-B48VY:1:1102:4180:10889;size=1;	0	0	4	4	4	0	1	34	33	1	3	42	142	694	0	0
M02144:85:000000000-B48VY:1:1102:4612:11208;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0
M02144:85:000000000-B48VY:1:1102:4929:14814;size=1;	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:5259:12860;size=1;	0	0	0	6	5	116	108	1	9	2	34	14	0	1	0	1
M02144:85:000000000-B48VY:1:1102:5620:14218;size=1;	0	0	0	5	9	0	0	0	0	24	22	3	0	0	0	0
M02144:85:000000000-B48VY:1:1102:5667:6534;size=1;	0	0	0	0	0	0	0	78	38	0	0	0	25	0	0	0
M02144:85:000000000-B48VY:1:1102:5947:20518;size=1;	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:6101:9235;size=1;	2	0	0	467	119	3	1	5	1	8686	21	4010	3	1	1	1
M02144:85:000000000-B48VY:1:1102:6218:6996;size=1;	0	228	0	75	21	22	20	11	9	2	43	41	0	0	0	0
M02144:85:000000000-B48VY:1:1102:6480:11938;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	15	1	0	0
M02144:85:000000000-B48VY:1:1102:6607:18667;size=1;	0	0	0	1	1	0	0	2	1	1249	614	93	0	0	1	0
M02144:85:000000000-B48VY:1:1102:6805:7636;size=1;	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:6808:13838;size=1;	0	0	0	46	68	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:6969:5677;size=1;	0	0	0	0	0	0	0	0	0	7	31	5	0	0	0	0
M02144:85:000000000-B48VY:1:1102:7216:20982;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1102:7283:10081;size=1;	1	0	0	2	2	2050	1159	0	3	1	0	6	0	0	1	1
M02144:85:000000000-B48VY:1:1102:7432:3763;size=6;	0	0	0	0	0	0	0	0	0	0	0	0	209	7	0	0
M02144:85:000000000-B48VY:1:1102:7592:15433;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	0
M02144:85:000000000-B48VY:1:1102:7651:8952;size=1;	0	0	0	0	0	0	0	25	10	0	0	0	7	0	0	0
M02144:85:000000000-B48VY:1:1102:7672:5675;size=1;	0	0	0	0	0	0	0	5	1	0	0	0	6	0	0	0
M02144:85:000000000-B48VY:1:1102:7812:5400;size=1;	0	0	0	0	2	0	0	32	16	0	0	7	732	25	0	0
